#,Date-Time (CEST),Ch: 1 - Temperature   (°C),Stopped,End of File
1,06/11/2023 16:01:00,19.474,,
2,06/11/2023 16:01:30,19.367,,
3,06/11/2023 16:02:00,19.292,,
4,06/11/2023 16:02:30,19.227,,
5,06/11/2023 16:03:00,19.184,,
6,06/11/2023 16:03:30,19.142,,
7,06/11/2023 16:04:00,19.109,,
8,06/11/2023 16:04:30,19.077,,
9,06/11/2023 16:05:00,19.066,,
10,06/11/2023 16:05:30,19.088,,
11,06/11/2023 16:06:00,19.088,,
12,06/11/2023 16:06:30,19.088,,
13,06/11/2023 16:07:00,19.066,,
14,06/11/2023 16:07:30,19.034,,
15,06/11/2023 16:08:00,19.056,,
16,06/11/2023 16:08:30,19.034,,
17,06/11/2023 16:09:00,19.045,,
18,06/11/2023 16:09:30,19.056,,
19,06/11/2023 16:10:00,19.056,,
20,06/11/2023 16:10:30,19.066,,
21,06/11/2023 16:11:00,19.066,,
22,06/11/2023 16:11:30,19.056,,
23,06/11/2023 16:12:00,19.066,,
24,06/11/2023 16:12:30,19.066,,
25,06/11/2023 16:13:00,19.045,,
26,06/11/2023 16:13:30,19.066,,
27,06/11/2023 16:14:00,19.045,,
28,06/11/2023 16:14:30,19.077,,
29,06/11/2023 16:15:00,19.088,,
30,06/11/2023 16:15:30,19.066,,
31,06/11/2023 16:16:00,19.088,,
32,06/11/2023 16:16:30,19.077,,
33,06/11/2023 16:17:00,19.077,,
34,06/11/2023 16:17:30,19.077,,
35,06/11/2023 16:18:00,19.066,,
36,06/11/2023 16:18:30,19.099,,
37,06/11/2023 16:19:00,19.088,,
38,06/11/2023 16:19:30,19.109,,
39,06/11/2023 16:20:00,19.066,,
40,06/11/2023 16:20:30,19.088,,
41,06/11/2023 16:21:00,19.077,,
42,06/11/2023 16:21:30,18.541,,
43,06/11/2023 16:22:00,17.179,,
44,06/11/2023 16:22:30,15.613,,
45,06/11/2023 16:23:00,13.993,,
46,06/11/2023 16:23:30,12.428,,
47,06/11/2023 16:24:00,11.001,,
48,06/11/2023 16:24:30,9.736,,
49,06/11/2023 16:25:00,8.631,,
50,06/11/2023 16:25:30,7.687,,
51,06/11/2023 16:26:00,6.947,,
52,06/11/2023 16:26:30,6.304,,
53,06/11/2023 16:27:00,5.778,,
54,06/11/2023 16:27:30,5.360,,
55,06/11/2023 16:28:00,4.995,,
56,06/11/2023 16:28:30,4.684,,
57,06/11/2023 16:29:00,4.416,,
58,06/11/2023 16:29:30,4.244,,
59,06/11/2023 16:30:00,4.083,,
60,06/11/2023 16:30:30,3.923,,
61,06/11/2023 16:31:00,3.869,,
62,06/11/2023 16:31:30,3.772,,
63,06/11/2023 16:32:00,3.730,,
64,06/11/2023 16:32:30,3.697,,
65,06/11/2023 16:33:00,3.665,,
66,06/11/2023 16:33:30,3.665,,
67,06/11/2023 16:34:00,3.654,,
68,06/11/2023 16:34:30,3.687,,
69,06/11/2023 16:35:00,3.719,,
70,06/11/2023 16:35:30,3.740,,
71,06/11/2023 16:36:00,3.772,,
72,06/11/2023 16:36:30,3.848,,
73,06/11/2023 16:37:00,3.858,,
74,06/11/2023 16:37:30,3.923,,
75,06/11/2023 16:38:00,3.987,,
76,06/11/2023 16:38:30,4.030,,
77,06/11/2023 16:39:00,4.094,,
78,06/11/2023 16:39:30,4.137,,
79,06/11/2023 16:40:00,4.201,,
80,06/11/2023 16:40:30,4.255,,
81,06/11/2023 16:41:00,4.330,,
82,06/11/2023 16:41:30,4.395,,
83,06/11/2023 16:42:00,4.480,,
84,06/11/2023 16:42:30,4.555,,
85,06/11/2023 16:43:00,4.620,,
86,06/11/2023 16:43:30,4.727,,
87,06/11/2023 16:44:00,4.802,,
88,06/11/2023 16:44:30,4.931,,
89,06/11/2023 16:45:00,5.006,,
90,06/11/2023 16:45:30,5.092,,
91,06/11/2023 16:46:00,5.167,,
92,06/11/2023 16:46:30,5.242,,
93,06/11/2023 16:47:00,5.328,,
94,06/11/2023 16:47:30,5.403,,
95,06/11/2023 16:48:00,5.467,,
96,06/11/2023 16:48:30,5.542,,
97,06/11/2023 16:49:00,5.649,,
98,06/11/2023 16:49:30,5.703,,
99,06/11/2023 16:50:00,5.778,,
100,06/11/2023 16:50:30,5.875,,
101,06/11/2023 16:51:00,5.939,,
102,06/11/2023 16:51:30,6.014,,
103,06/11/2023 16:52:00,6.089,,
104,06/11/2023 16:52:30,6.164,,
105,06/11/2023 16:53:00,6.229,,
106,06/11/2023 16:53:30,6.336,,
107,06/11/2023 16:54:00,6.389,,
108,06/11/2023 16:54:30,6.454,,
109,06/11/2023 16:55:00,6.550,,
110,06/11/2023 16:55:30,6.636,,
111,06/11/2023 16:56:00,6.700,,
112,06/11/2023 16:56:30,6.743,,
113,06/11/2023 16:57:00,6.829,,
114,06/11/2023 16:57:30,6.904,,
115,06/11/2023 16:58:00,6.979,,
116,06/11/2023 16:58:30,7.087,,
117,06/11/2023 16:59:00,7.119,,
118,06/11/2023 16:59:30,7.215,,
119,06/11/2023 16:59:59,,Logged,Logged
